Agency,Organization,Account Type,Character Code,Object,2015,2016,2017,2018
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES," 	(11,355,535)"," 	(11,941,627)"," 	(12,603,779)"," 	(13,080,448)"
44 -  STREETS,44101 - ST SOLID WASTE ADMIN,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	10,063 "," 	14,229 "," 	84,112 "," 	65,648 "
44 -  STREETS,44224 - ST BRUSH PROCESSING,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	10,075 "," 	9,465 "," 	11,352 "," 	10,726 "
62 -  COMMUNITY DEVELOPMENT,62448 - CHILD CARE SERVICES,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	10,097 "," 	(1,579)", 	-   ," 	3,765 "
63 -  ECONOMIC DEVELOPMENT,63221 - EDD OBR ECON DEV BUSINESS ASST,Expense,54 - PURCHASED SERVICES,54650 - ADVERTISING SERVICES," 	10,113 "," 	7,875 "," 	10,878 "," 	8,100 "
30 -  FIRE,30110 - FIRE GEN FIELD OP,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES," 	10,140 "," 	3,957 "," 	3,900 "," 	2,464 "
65 -  PLANNING,65114 - PL SPECIAL PROJECTS,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	10,143 "," 	8,719 "," 	5,439 "," 	7,021 "
30 -  FIRE,30110705 - FIRE GEN FIELD OP STATION 5,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT," 	10,147 "," 	1,374 ", 	663 , 	663 
44 -  STREETS,44115 - ST TRANSFER STATION HAULING,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	10,151 "," 	10,923 "," 	13,084 "," 	10,662 "
50 -  LIBRARY,50100751 - LIB PUBLIC SERVICE CENTRAL,Expense,54 - PURCHASED SERVICES,54535 - MEMBERSHIPS," 	10,194 "," 	10,868 "," 	13,284 "," 	3,965 "
30 -  FIRE,30110707 - FIRE GEN FIELD OP STATION 7,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT," 	10,244 "," 	1,718 "," 	4,268 "," 	28,216 "
50 -  LIBRARY,50400752 - LIB FACILITIES HAWTHORNE,Expense,54 - PURCHASED SERVICES,54232 - CUSTODIAL BUILDING USE CHARGES," 	10,259 "," 	10,259 "," 	10,259 "," 	10,259 "
65 -  PLANNING,65222 - PL COMP NEIGH SPEC AREA PLAN,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	10,290 "," 	14,685 "," 	19,965 "," 	17,066 "
31 -  POLICE,31125 - EAST,Expense,52 - BENEFITS,52110 - COMPENSATED ABSENCE ESCROW," 	10,304 ", 	-   , 	-   , 	-   
44 -  STREETS,44111 - ST LARGE ITEMS,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	10,315 "," 	9,419 "," 	5,445 "," 	4,002 "
50 -  LIBRARY,50222759 - LIB COMM ENGAGE TEEN SMB,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES," 	10,316 ", 	-   , 	-   , 	-   
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,54 - PURCHASED SERVICES,54130 - SYSTEMS COMMUNICATION INTERNET," 	10,335 "," 	11,523 "," 	17,275 "," 	6,262 "
10 -  ASSESSOR,10140 - ASSESSOR TAX ROLL PREPARATION,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING," 	10,336 "," 	6,078 "," 	9,710 "," 	6,657 "
31 -  POLICE,31145 - INVESTIGATIVE SUPPORT GENERAL,Expense,51 - SALARIES,51120 - PREMIUM PAY," 	10,347 ", 	-   , 	-   , 	-   
45 -  TRAFFIC ENGINEERING,45881 - TE PED BIKE SAFETY EDUCATION,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	10,351 "," 	1,576 ", 	-   , 	-   
50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	10,358 "," 	20,454 "," 	4,543 "," 	5,527 "
63 -  ECONOMIC DEVELOPMENT,63220 - EDD OBR VENDING,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING," 	10,362 "," 	10,362 "," 	11,312 "," 	11,312 "
45 -  TRAFFIC ENGINEERING,45505 - TE SIGNALS MAINTENANCE,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	10,372 "," 	10,005 "," 	4,667 "," 	2,580 "
40 -  ENGINEERING,40116 - ENG ADMIN INSPECTION SURVEY,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	10,398 "," 	7,380 "," 	6,661 "," 	8,332 "
50 -  LIBRARY,50400757 - LIB FACILITIES PINNEY,Expense,54 - PURCHASED SERVICES,54860 - TAXES AND SPECIAL ASSESSMENTS," 	10,406 "," 	14,257 "," 	11,305 "," 	17,575 "
44 -  STREETS,44331 - ST SNOW REMOVAL HAULING,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	10,409 "," 	3,527 ", 	407 , 	716 
30 -  FIRE,30120 - FIRE MEDICAL PROGRAM GENERAL,Expense,54 - PURCHASED SERVICES,54350 - LEASE RENTAL OF EQUIPMENT," 	10,430 "," 	12,516 "," 	11,330 "," 	27,718 "
31 -  POLICE,31166 - TRAINING CENTER,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	10,433 ", 	-   , 	-   , 	-   
40 -  ENGINEERING,40471 - ENG FAC MAINT BUILDING MAINT,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES," 	10,440 "," 	4,688 "," 	8,198 "," 	9,291 "
30 -  FIRE,30110720 - FIRE GEN FIELD OP ADMIN,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	10,447 ", 	-   , 	-   , 	-   
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Expense,54 - PURCHASED SERVICES,54113 - WATER," 	10,461 "," 	13,244 "," 	14,116 "," 	12,489 "
65 -  PLANNING,65226 - PL GEO GIS ADMINISTRATION MAIN,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	10,492 "," 	6,846 "," 	15,307 "," 	17,011 "
31 -  POLICE,31149 - TASK FORCE,Expense,57 - INTER DEPART CHARGES,57141 - ID CHARGE FROM FLEET SERVICES," 	10,501 ", 	-   , 	-   , 	-   
51 -  PARKS,51242 - PARK MTC WEST PARKS,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	10,531 "," 	11,580 "," 	7,949 "," 	17,937 "
40 -  ENGINEERING,40131 - ENG SIDEWALKS GENERAL,Expense,54 - PURCHASED SERVICES,54115 - STORMWATER," 	10,537 "," 	11,346 "," 	11,514 "," 	11,906 "
44 -  STREETS,44401 - ST STREET SWEEPING ADMIN,Expense,57 - INTER DEPART CHARGES,57175 - ID CHARGE FROM INSURANCE," 	10,542 ", 	-   , 	-   , 	-   
51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Expense,57 - INTER DEPART CHARGES,57175 - ID CHARGE FROM INSURANCE," 	10,591 "," 	11,709 "," 	16,999 "," 	12,418 "
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES," 	10,596 "," 	12,633 "," 	18,919 "," 	11,146 "
31 -  POLICE,31278 - PERSONNEL,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	10,598 ", 	-   , 	-   , 	-   
31 -  POLICE,31174 - SAFETY ED,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	10,601 "," 	11,885 "," 	11,744 ", 	-   
14 -  COMMON COUNCIL,14100 - COMMON COUNCIL,Expense,54 - PURCHASED SERVICES,54232 - CUSTODIAL BUILDING USE CHARGES," 	10,605 "," 	10,537 "," 	9,826 "," 	7,492 "
31 -  POLICE,31145 - INVESTIGATIVE SUPPORT GENERAL,Expense,54 - PURCHASED SERVICES,54335 - SYSTEM AND SOFTWARE MAINTENANC," 	10,608 "," 	11,288 "," 	18,077 "," 	14,786 "
10 -  ASSESSOR,10140 - ASSESSOR TAX ROLL PREPARATION,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES," 	10,616 "," 	5,589 "," 	6,120 "," 	4,069 "
31 -  POLICE,31299 - SUPPORT GENERAL OVERALL,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	10,616 "," 	10,733 "," 	11,580 "," 	12,434 "
62 -  COMMUNITY DEVELOPMENT,62441 - YOUTH SERVICES,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	10,631 "," 	10,379 "," 	8,475 ", 	-   
51 -  PARKS,51241 - PARK MTC EAST PARKS,Expense,53 - SUPPLIES,53315 - BUILDING SUPPLIES," 	10,632 "," 	26,129 "," 	7,245 "," 	3,736 "
63 -  ECONOMIC DEVELOPMENT,63330 - EDD RE ACQUISITIONS DISPOSALS,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING," 	10,662 "," 	7,062 "," 	7,904 "," 	8,643 "
62 -  COMMUNITY DEVELOPMENT,62550 - CD DIVISION 26 PRGM ADMIN,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	10,663 ", 	381 , 	-   , 	-   
44 -  STREETS,44201 - ST RECYCLING ADMIN,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	10,676 "," 	7,468 "," 	6,772 "," 	9,296 "
63 -  ECONOMIC DEVELOPMENT,63330 - EDD RE ACQUISITIONS DISPOSALS,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	10,696 "," 	4,678 "," 	10,752 "," 	2,856 "
30 -  FIRE,30110713 - FIRE GEN FIELD OP STATION 13,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY," 	10,768 "," 	8,985 "," 	9,389 "," 	9,194 "
40 -  ENGINEERING,40110 - ENG ADMIN DIVISION,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	10,793 "," 	11,396 "," 	12,829 "," 	13,968 "
14 -  COMMON COUNCIL,14100613 - COMMON COUNCIL DIST 13,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	10,843 "," 	12,692 "," 	12,883 "," 	13,659 "
31 -  POLICE,31166657 - TRAINING CENTER BLDG,Expense,54 - PURCHASED SERVICES,54110 - NATURAL GAS," 	10,852 "," 	7,853 "," 	9,059 "," 	10,028 "
44 -  STREETS,44501 - ST STREET REPAIR MAINT ADMIN,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	10,869 "," 	10,498 "," 	9,563 "," 	9,192 "
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING," 	10,900 "," 	8,181 "," 	8,181 "," 	(9,295)"
45 -  TRAFFIC ENGINEERING,45600 - TE SERVICES,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING," 	10,900 "," 	9,817 "," 	9,817 "," 	9,817 "
31 -  POLICE,31125 - EAST,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES," 	10,929 ", 	562 , 	159 , 	726 
31 -  POLICE,31145 - INVESTIGATIVE SUPPORT GENERAL,Expense,54 - PURCHASED SERVICES,54545 - MEDICAL SERVICES," 	10,933 "," 	13,365 "," 	11,537 "," 	8,074 "
30 -  FIRE,30120 - FIRE MEDICAL PROGRAM GENERAL,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT," 	10,944 "," 	9,969 "," 	10,678 "," 	11,110 "
31 -  POLICE,31200 - POLICE SUPPORT,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	10,951 "," 	316,017 "," 	318,663 "," 	344,721 "
31 -  POLICE,31200 - POLICE SUPPORT,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	10,984 "," 	301,779 "," 	316,615 "," 	346,549 "
44 -  STREETS,44551 - ST STONE,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	11,005 "," 	18,483 "," 	10,886 "," 	18,925 "
65 -  PLANNING,65101 - PL NEIGH PLAN PRES DESIGN ADMI,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	11,019 "," 	11,699 "," 	14,832 "," 	18,172 "
31 -  POLICE,31102655 - WEST PD FIELD,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY," 	11,036 "," 	19,464 "," 	15,987 "," 	14,281 "
50 -  LIBRARY,50100751 - LIB PUBLIC SERVICE CENTRAL,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES," 	11,047 "," 	4,967 "," 	7,138 "," 	5,860 "
60 -  BUILDING INSPECTION,60300 - BI ZONING AND SIGNS,Expense,54 - PURCHASED SERVICES,54515 - MILEAGE," 	11,054 "," 	10,452 "," 	11,079 "," 	7,861 "
16 -  HUMAN RESOURCES,16300 - HR ORGANIZATIONAL & HEALTH DEV,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	11,114 "," 	4,552 "," 	4,791 "," 	4,968 "
50 -  LIBRARY,50100752 - LIB PUBLIC SERVICE HAWTHORNE,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	11,137 "," 	1,181 "," 	1,225 "," 	1,226 "
45 -  TRAFFIC ENGINEERING,45304 - TE PAVE MARK INSTALL OR REMOVE,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	11,191 "," 	13,418 "," 	9,175 "," 	8,295 "
44 -  STREETS,44115 - ST TRANSFER STATION HAULING,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	11,199 "," 	12,213 "," 	14,377 "," 	11,952 "
30 -  FIRE,30110708 - FIRE GEN FIELD OP STATION 8,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY," 	11,254 "," 	10,731 "," 	10,130 "," 	10,123 "
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	11,288 "," 	10,951 "," 	11,921 "," 	12,523 "
60 -  BUILDING INSPECTION,60400 - BI CONSUMER PROTECTION,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	11,314 "," 	12,599 "," 	13,618 "," 	13,147 "
40 -  ENGINEERING,40140 - ENG ENV ENG ADMIN,Expense,51 - SALARIES,51110 - PERMANENT WAGES," 	11,360 "," 	11,733 "," 	5,039 ", 	675 
31 -  POLICE,31111 - MOUNTED,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	11,374 ", 	-   , 	-   , 	-   
65 -  PLANNING,65222 - PL COMP NEIGH SPEC AREA PLAN,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	11,377 "," 	16,503 "," 	23,365 "," 	19,134 "
31 -  POLICE,31157 - CROSSING GUARDS,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	11,394 "," 	6,046 "," 	2,818 "," 	1,498 "
31 -  POLICE,31299 - SUPPORT GENERAL OVERALL,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	11,443 "," 	11,833 "," 	12,497 "," 	13,539 "
30 -  FIRE,30110704 - FIRE GEN FIELD OP STATION 4,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY," 	11,446 "," 	11,079 "," 	10,799 "," 	10,784 "
40 -  ENGINEERING,40471 - ENG FAC MAINT BUILDING MAINT,Expense,53 - SUPPLIES,53315 - BUILDING SUPPLIES," 	11,485 "," 	17,126 "," 	13,002 "," 	20,483 "
31 -  POLICE,31120 - CENTRAL,Expense,52 - BENEFITS,52711 - TUITION," 	11,505 ", 	-   , 	-   , 	-   
31 -  POLICE,31114 - CENTRALIZED FIELD SERVICES,Expense,51 - SALARIES,51120 - PREMIUM PAY," 	11,511 ", 	-   , 	-   , 	-   
50 -  LIBRARY,50400754 - LIB FACILITIES LAKEVIEW,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT," 	11,516 "," 	12,991 "," 	8,935 "," 	39,557 "
51 -  PARKS,51243 - PARK MTC CENTRAL PARKS,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	11,522 "," 	9,149 "," 	9,713 "," 	13,487 "
40 -  ENGINEERING,40121 - ENG STREETS GENERAL,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	11,537 "," 	7,422 "," 	8,644 "," 	20,929 "
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	11,569 "," 	3,183 ", 	607 , 	633 
65 -  PLANNING,65225 - PL RESEARCH INFORMATION SERVIC,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	11,572 "," 	9,475 "," 	8,144 "," 	5,174 "
40 -  ENGINEERING,40129 - ENG STREETS EXCAVATION PERMIT,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	11,583 "," 	6,868 "," 	3,063 "," 	4,926 "
16 -  HUMAN RESOURCES,16100 - HR SERVICES,Expense,54 - PURCHASED SERVICES,54335 - SYSTEM AND SOFTWARE MAINTENANC," 	11,598 "," 	11,598 "," 	11,598 "," 	2,017 "
45 -  TRAFFIC ENGINEERING,45664 - TE SERVICES PUBLIC PASSNGR VEH,Expense,51 - SALARIES,51110 - PERMANENT WAGES," 	11,610 "," 	5,242 "," 	6,161 "," 	6,349 "
63 -  ECONOMIC DEVELOPMENT,63220 - EDD OBR VENDING,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	11,625 "," 	10,684 "," 	6,220 "," 	6,274 "
50 -  LIBRARY,50100756 - LIB PUBLIC SERVICE MONROE,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	11,654 "," 	10,329 "," 	12,653 "," 	12,965 "
51 -  PARKS,51246 - PARK MTC CONSERVATION,Expense,57 - INTER DEPART CHARGES,57175 - ID CHARGE FROM INSURANCE," 	11,670 "," 	12,902 "," 	18,730 "," 	13,676 "
30 -  FIRE,30121 - FIRE MEDICAL PROGRAM STATE,Expense,54 - PURCHASED SERVICES,54525 - IN SERVICE TRAINING," 	11,720 "," 	4,884 "," 	7,710 "," 	5,737 "
15 -  FINANCE,15110 - FIN ACCOUNTING PAYROLL,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	11,802 "," 	1,896 ", 	455 ," 	1,252 "
31 -  POLICE,31120 - CENTRAL,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES," 	11,827 ", 	748 , 	467 , 	663 
45 -  TRAFFIC ENGINEERING,45305 - TE PAVE MARK MAINTENANCE,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	11,835 "," 	11,444 "," 	9,131 "," 	8,248 "
44 -  STREETS,44201 - ST RECYCLING ADMIN,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING," 	11,842 "," 	14,891 "," 	10,000 "," 	10,000 "
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	11,844 "," 	14,526 "," 	15,271 "," 	24,572 "
30 -  FIRE,30110722 - FIRE GEN FIELD OP TRAINING,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	11,852 "," 	6,489 "," 	2,074 "," 	1,986 "
30 -  FIRE,30110723 - FIRE GEN FIELD OP EMS TRAINING,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	11,892 "," 	10,160 "," 	1,393 ", 	-   
14 -  COMMON COUNCIL,14100 - COMMON COUNCIL,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	11,898 "," 	8,770 "," 	9,512 "," 	21,764 "
40 -  ENGINEERING,40471 - ENG FAC MAINT BUILDING MAINT,Expense,53 - SUPPLIES,53330 - PLUMBING SUPPLIES," 	11,902 "," 	28,821 "," 	23,058 "," 	19,120 "
45 -  TRAFFIC ENGINEERING,45305 - TE PAVE MARK MAINTENANCE,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	11,948 "," 	7,799 "," 	11,932 "," 	18,746 "
31 -  POLICE,31145 - INVESTIGATIVE SUPPORT GENERAL,Expense,54 - PURCHASED SERVICES,54684 - INVESTIGATIVE SERVICES," 	11,961 "," 	12,400 "," 	20,136 "," 	9,940 "
65 -  PLANNING,65300 - PL METROPOLITAN PLANNING ORG,Expense,54 - PURCHASED SERVICES,54650 - ADVERTISING SERVICES," 	11,965 "," 	12,000 ", 	-   , 	-   
51 -  PARKS,51150 - PARK COM REC COM SERVICES,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	12,024 "," 	7,516 "," 	21,716 "," 	5,041 "
31 -  POLICE,31169 - RECRUITMENT AND HIRING,Expense,54 - PURCHASED SERVICES,54650 - ADVERTISING SERVICES," 	12,069 "," 	12,879 "," 	12,687 "," 	12,854 "
51 -  PARKS,51241 - PARK MTC EAST PARKS,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	12,101 "," 	10,833 "," 	9,005 "," 	18,758 "
45 -  TRAFFIC ENGINEERING,45501 - TE SIGNALS ADMIN,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	12,133 "," 	12,358 "," 	23,939 "," 	1,634 "
40 -  ENGINEERING,40130 - ENG SIDEWALKS ADMIN,Expense,57 - INTER DEPART CHARGES,57184 - ID CHARGE FROM STORMWATER," 	12,196 "," 	11,901 "," 	6,372 ", 	-   
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Expense,57 - INTER DEPART CHARGES,57175 - ID CHARGE FROM INSURANCE," 	12,201 "," 	13,489 "," 	19,583 "," 	14,299 "
51 -  PARKS,51245 - PARK MTC CONSTRUCTION,Expense,57 - INTER DEPART CHARGES,57175 - ID CHARGE FROM INSURANCE," 	12,201 "," 	13,489 "," 	19,583 "," 	14,299 "
17 -  INFORMATION TECHNOLOGY,17100 - IT APPLICATION DEVELOP SUPPORT,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	12,204 "," 	11,935 "," 	12,076 "," 	20,622 "
44 -  STREETS,44101 - ST SOLID WASTE ADMIN,Expense,54 - PURCHASED SERVICES,54113 - WATER," 	12,220 "," 	15,924 "," 	14,191 "," 	14,798 "
65 -  PLANNING,65101 - PL NEIGH PLAN PRES DESIGN ADMI,Expense,53 - SUPPLIES,53150 - POSTAGE," 	12,264 "," 	15,030 "," 	10,510 "," 	11,495 "
65 -  PLANNING,65101 - PL NEIGH PLAN PRES DESIGN ADMI,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	12,266 "," 	13,230 "," 	16,336 "," 	20,249 "
31 -  POLICE,31140 - WEST,Expense,51 - SALARIES,51130 - WORKERS COMPENSATION WAGES," 	12,313 ", 	-   , 	-   , 	-   
11 -  ATTORNEY,11300 - ATTY COUNSEL REPRESENTATION,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	12,316 "," 	16,222 "," 	11,018 "," 	12,428 "
14 -  COMMON COUNCIL,14100611 - COMMON COUNCIL DIST 11,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	12,330 "," 	12,692 "," 	12,883 "," 	13,148 "
40 -  ENGINEERING,40110 - ENG ADMIN DIVISION,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	12,336 "," 	12,445 "," 	13,681 "," 	14,793 "
30 -  FIRE,30132 - FIRE APPLICANT HIRE AND TRAINI,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	12,412 "," 	59,627 "," 	93,055 "," 	126,250 "
45 -  TRAFFIC ENGINEERING,45201 - TE STLIGHT ADMIN,Expense,54 - PURCHASED SERVICES,54673 - LOCATING MARKING SERVICES," 	12,430 "," 	12,909 "," 	13,925 "," 	15,711 "
51 -  PARKS,51241 - PARK MTC EAST PARKS,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	12,517 "," 	23,271 "," 	15,665 "," 	17,830 "
65 -  PLANNING,65110 - PL NEIGHBORHOOD PLANNING,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	12,539 "," 	15,026 "," 	18,714 "," 	20,646 "
15 -  FINANCE,15110 - FIN ACCOUNTING PAYROLL,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	12,541 ", 	179 , 	-   , 	789 
50 -  LIBRARY,50400754 - LIB FACILITIES LAKEVIEW,Expense,54 - PURCHASED SERVICES,54860 - TAXES AND SPECIAL ASSESSMENTS," 	12,559 "," 	12,432 "," 	13,309 "," 	12,847 "
65 -  PLANNING,65225 - PL RESEARCH INFORMATION SERVIC,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	12,559 "," 	10,712 "," 	9,099 "," 	5,860 "
21 -  TREASURER,21100 - TREASURER,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	12,568 "," 	14,362 "," 	15,308 "," 	15,551 "
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	12,574 "," 	3,547 "," 	1,656 ", 	706 
44 -  STREETS,44222 - ST DROP OFF SITES,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	12,598 "," 	13,099 "," 	12,810 "," 	12,710 "
30 -  FIRE,30260 - FIRE COMMUNITY EDUCATION,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	12,667 "," 	12,979 "," 	6,316 "," 	5,658 "
51 -  PARKS,51243 - PARK MTC CENTRAL PARKS,Expense,57 - INTER DEPART CHARGES,57176 - ID CHARGE FROM WORKERS COMP," 	12,692 ", 	-   , 	-   , 	-   
40 -  ENGINEERING,40116 - ENG ADMIN INSPECTION SURVEY,Expense,53 - SUPPLIES,53410 - MACHINERY AND EQUIPMENT," 	12,694 ", 	-   , 	-   ," 	3,683 "
44 -  STREETS,44301 - ST SNOW AND ICE ADMIN,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING," 	12,710 "," 	6,618 "," 	12,000 "," 	12,000 "
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,57 - INTER DEPART CHARGES,57141 - ID CHARGE FROM FLEET SERVICES," 	12,764 "," 	5,587 "," 	5,022 "," 	3,065 "
45 -  TRAFFIC ENGINEERING,45667 - TE SERVICES GEOMETRICS,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	12,769 "," 	7,648 "," 	13,769 "," 	15,986 "
45 -  TRAFFIC ENGINEERING,45202 - TE STLIGHT PLAN AND REVIEW,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	12,782 "," 	5,233 "," 	5,897 "," 	5,668 "
50 -  LIBRARY,50100751 - LIB PUBLIC SERVICE CENTRAL,Expense,57 - INTER DEPART CHARGES,57176 - ID CHARGE FROM WORKERS COMP," 	12,790 "," 	14,324 "," 	12,936 "," 	15,403 "
45 -  TRAFFIC ENGINEERING,45111 - TE SIGNING SPECIAL EVENT,Expense,51 - SALARIES,51110 - PERMANENT WAGES," 	12,793 "," 	15,124 "," 	9,135 "," 	13,226 "
30 -  FIRE,30110703 - FIRE GEN FIELD OP STATION 3,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY," 	12,841 "," 	11,106 "," 	11,121 "," 	9,430 "
51 -  PARKS,51247 - PARK MTC PARK RANGERS,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	12,859 ", 	5 , 	-   , 	-   
