Incident,Date,Incident Type,Address,Updated
"Firefighters Assist Locked-In Mail Carrier On Karstens Drive","12/31/2016","Assist Citizen","East Karstens Drive, Madison, WI 53703",""
"Two Transported Following Chemical Spill","12/31/2016","Hazmat","5800 Block Odana Road, Madison, WI 53703",""
"Damaged Sprinkler Pipe Triggers Alarm At Downtown High Rise","12/28/2016","Water Leak","800 Block E. Washington Ave, Madison, WI",""
"Center Avenue home damaged by fire","12/27/2016","Structure","2700 Block Center Ave, Madison, WI 53704",""
"Firefighters Extinguish Shed Fire","12/25/2016","Structure","3300 Block Atwood Avenue, Madison, WI 53704","Updated: 12/29/2016"
"Two People Rescued After Falling Through Ice","12/24/2016","Lake Rescue","3300 Block Fish Camp Road, McFarland, WI 53558",""
"Man Survives Cardiac Arrest With Help From CPR-Trained Son","12/23/2016","Assist Citizen","600 Block W. Dayton Street, Madison, WI 53703",""
"Firefighters Respond to Fire at SSM Health Care Center","12/23/2016","Structure","3400 Block Maple Grove Drive, Madison, WI 53719","Updated: 12/29/2016"
"Firefighters Investigate Burning Smell Inside East Side Home","12/22/2016","Odor Investigation","1300 Block Meadowlark Drive, Madison, WI",""
"No Injuries Following Jeep Rollover On Milwaukee Street","12/22/2016","Vehicle","Milwaukee Street / Crystal Lane, Madison, WI",""
"Two Rescued From Stalled Elevator","12/21/2016","Elevator","600 Block N. Segoe Road, Madison, WI",""
"Firefighters Help Woman Who Fell In the Snow; Clear A Path To Her Home","12/21/2016","Assist Citizen","600 Block S. Segoe Rd, Madison, WI",""
"Construction Crew Asked To Put Out Fire In "Burn Barrel"","12/20/2016","Outdoor","2600 Block Kendall Ave, Madison, WI",""
"One Removed From Stalled Elevator at Chavez Elementary School","12/19/2016","Elevator","3500 Block Maple Grove Road, Madison, WI",""
"Boiler Malfunction Temporarily Leaves Residents In the Cold","12/18/2016","Odor Investigation","500 Block W. Mifflin Street, Madison, WI",""
"Firefighters Free Man Trapped In Vehicle Hood","12/18/2016","Assist Citizen","2200 Block Catalpa Road, Madison, WI",""
"Unattended Pizza Rolls To Blame For Downtown Smoke Scare","12/16/2016","Smoke Scare","200 Block Langdon Street, Madison, WI",""
"Smoke Alarm Alerts Resident to Fire","12/15/2016","Structure","2000 Block Helena St, Madison, WI",""
"No Injuries In Car-Vs.-Tree Collision","12/14/2016","Vehicle","1600 Block Moorland Rd, Madison, WI",""
"Car Strikes East Towne Store; Nobody Injured","12/14/2016","Vehicle","4700 Block East Towne Blvd, Madison, WI 53703",""
"TV Breakdown Sends Firefighters To West-Side Duplex","12/13/2016","Smoke Scare","8500 Block Elderberry Road, Madison, WI",""
"Vehicle Fire Knocked Down on Pennsylvania Avenue","12/13/2016","Vehicle","2400 Block Pennsylvania Ave, Madison, WI",""
"Driver Uninjured Despite Rollover Crash On Milwaukee Street","12/13/2016","Vehicle","Milwaukee Street / S. Marquette Street, Madison, WI 53703",""
"Crash At Gammon Intersection Causes Injuries","12/12/2016","Vehicle","Gammon Lane / S. Gammon Road, Madison, WI 53703",""
"Two Taken To Hospital Following Traffic Crash","12/10/2016","Vehicle","Millpond Rd. / US Highway 12, Madison, WI",""
"Leaky Water Valve Floods, Significantly Damages West-Side Home","12/10/2016","Water Leak","9200 Block Bear Claw Way, Madison, WI",""
"Firefighters Investigate Gasoline Smell at East-Side Walmart","12/08/2016","Odor Investigation","4100 Block Nakoosa Trail, Madison, WI",""
"Odor Investigation At GEF 4 Building","12/07/2016","Odor Investigation","100 Block East Wilson Street, Madison, WI",""
"Four Displaced Following Fire on Webb Ave.","12/07/2016","Structure","3100 Block Webb Ave, Madison, WI","Updated: 12/08/2016"
"Package Collides With Pipe Causing Water Leak at FedEx","12/05/2016","Water Leak","3900 Block Hanson Road, Madison, WI",""
"Kitchen Fire Totals Appliances; Nobody Injured","12/03/2016","Cooking","400 Block N. Few Street, Madison, WI 53703",""
"Smoke Scare Sends Fire Response To Downtown Parking Garage","12/03/2016","Smoke Scare","10 Block S. Bedford Street, Madison, WI 53703",""
"Small Oven Fire Sends Firefighters To Downtown Home","12/01/2016","Smoke Scare","500 Block W. Washington Ave, Madison, WI 53703",""
"Fire Displaces Person and Pet From Park Street Apartment","11/30/2016","Structure","200 Block S. Park Street, Madison, WI",""
"At Least 10 Displaced From Downtown High Rise","11/30/2016","Structure","100 Block N. Bedford Street, Madison, WI 53703",""
"Three Rescued, Transported Following Rollover Crash","11/30/2016","Vehicle","4800 Block Hayes Road, Madison, WI",""
"Small Umbrella Fire Triggers Alarm Downtown","11/29/2016","Structure","100 Block E. Wilson Street, Madison, WI",""
"Vehicle Fire At Elver Park Believed To Be Accidental","11/29/2016","Vehicle","1200 Block McKenna Blvd, Madison, WI",""
"MFD Called To Spring Harbor Park For Vehicle In Water","11/28/2016","Lake Rescue","Spring Harbor Park, Madison, WI 53705",""
"Nobody Injured In East Side Carbon Monoxide Incident","11/25/2016","Carbon Monoxide","1600 Block Kings Mill Way, Madison, WI",""
"Residents Displaced by East Madison Apartment Fire","11/24/2016","Structure","1300 Block Morrison Street, Madison, WI","Updated: 12/01/2016"
"Small Electrical Fire Caught Early Thanks To Prompt 911 Call","11/23/2016","Electrical","5400 Block University Ave, Madison, WI",""
"Nobody Injured In Vehicle Vs. Building Crash","11/22/2016","Vehicle","6700 Block Odana Road, Madison, WI",""
"Small Oven Fire On Sycamore Ave.","11/21/2016","Cooking","3800 Block Sycamore Ave, Madison, WI",""
"Small Grease Fire Contained At East Towne Restaurant","11/21/2016","Cooking","4300 Block East Towne Blvd, Madison, WI",""
"Fire Causes Extensive Damage, Displacing Two From East-Side Home","11/20/2016","Structure","100 Block Acewood Blvd, Madison, WI",""
"Five Vehicles Damaged By Fire On Bridge Road","11/20/2016","Vehicle","6400 Block Bridge Road, Madison, WI",""
"Chemical Odor On East Johnson Street Identified","11/16/2016","Hazmat","800 Block East Johnson Street, Madison, WI",""
"Tank Ruptures, Spills Gallons Of Diesel At East Wash Intersection","11/15/2016","Vehicle","E. Washington Avenue & S. Patterson Street, Madison, WI",""
"Two Displaced By Small Fire On Calypso Road","11/14/2016","Structure","2500 Block Calypso Road, Madison, WI",""
"Garage Fire On Southwest Side","11/13/2016","Structure","Golden Oak Lane, Madison, WI 53715",""
"Tractor Trailer Clips Electrical Pole","11/09/2016","Electrical","Odana Rd/Monroe Street, Madison, WI",""
"Landscapers Hit Gas Supply Line","11/09/2016","Gas Leak","400 Block Wild Indigo Lane, Madison, WI 53717",""
"Nobody Home When Small Fire Ignites On Outdoor Balcony","11/07/2016","Structure","5100 Block Autumn Leaf Lane, Madison, WI",""
"MFD Called For Windsurfer Believed To Be In Distress","11/07/2016","Lake Rescue","1600 Block East Sherman Ave, Madison, WI 53703",""
"Engine 5 Responds To Dumpster Fire On Femrite Drive","11/06/2016","Trash/Rubbish","4400 Block Femrite Drive, Madison, WI",""
"Rented U-Haul Goes Up In Flames On West Side","11/06/2016","Vehicle","S. Whitney Way / Westbury Place, Madison, WI 53703",""
"Man Attacked By Pet Iguana Is Expected To Make Full Recovery","11/06/2016","Assist Citizen","Near-West Side, Madison, WI 53703",""
"Firefighters Respond To Wood Beam On Fire At Shorewood Hills Home","11/04/2016","Structure","Blackhawk Drive, Shorewood Hills, WI",""
"Books Left On Oven Prompt Fire Department Response Downtown","11/04/2016","Structure","300 Block W. Dayton Street, Madison, WI",""
"Engine 1 Confronts Gas Leak Emergency At "Lucky" Business","11/04/2016","Gas Leak","700 Block University Ave, Madison, WI",""
"Overheated Fan Causes Smoke Scare On UW Campus","11/01/2016","Smoke Scare","1400 Block Engineering Drive, Madison, WI",""
"Fire Quickly Consumes Car In Downtown Madison","11/01/2016","Vehicle","E. Johnson Street / N. Blount Street, Madison, WI",""
"Mixture Of Drain Cleaners Creates Toxic Vapor On North Side","11/01/2016","Hazmat","East Bluff, Madison, WI 53703",""
"Cause Of Allied Drive Trash Fire Unknown","10/30/2016","Trash/Rubbish","2100 Block Allied Drive, Madison, WI",""
"Four Condos, Garages Ventilated Following Carbon Monoxide Spell","10/29/2016","Carbon Monoxide","5000 Block Siggelkow Road, Madison, WI",""
"Clothing Stuffed in Dryer Vent Causes Fire Damage","10/29/2016","Structure","1100 Block Woodvale Drive, Madison, WI",""
"Two Injured In Stoughton Road Crash","10/28/2016","Vehicle","S. Stoughton Rd. / Cottage Grove Rd, Madison, WI",""
"Student Cited For Fire At UW Dormitory","10/28/2016","Structure","600 Block W. Johnson Street, Madison, WI",""
"Driver Uninjured After Vehicle Rolls Into Construction Pit","10/26/2016","Vehicle","Hammersley Road / S. Midvale Boulevard, Madison, WI",""
"Automatic Sprinkler Puts Stop To Fire At West Side Retail Store","10/26/2016","Structure","7400 Block Mineral Point Road, Madison, WI","Updated: 10/26/2016"
"Small Fire In Duct System At Local Manufacturing Plant","10/24/2016","Structure","1000 Block E. Main Street, Madison, WI 53703",""
"Cat Stranded On Rooftop Returns To Owner's Arms","10/23/2016","Special Rescue","500 Block Wynnwood Way, Madison, WI",""
"Distracted Driving Leads To Single-Vehicle Rollover On East Side","10/23/2016","Vehicle","W. Corporate Drive / Milwaukee Street, Madison, WI",""
"Brewing Kitchen Fire Caught Early Thanks To Alert Neighbor","10/22/2016","Cooking","100 Block S. Mills Street, Madison, WI",""
"Multiple Vehicle Accident on I-90","10/22/2016","Vehicle","Interstate 90, Madison, WI",""
"Kitchen Stove Used As Home Heat Source Triggers CO Alarm","10/22/2016","Carbon Monoxide","2800 Block Curry Parkway, Madison, WI",""
"Cooking Fire On North Side","10/21/2016","Cooking","1500 Block Troy Drive, Madison, WI",""
"Child Freed From Infant Swing At Local Park","10/20/2016","Assist Citizen","1600 Block Frisch Rd, Madison, WI",""
"Two-Car Crash At Packers Ave. Intersection","10/19/2016","Vehicle","Packers Ave. / International Ln, Madison, WI",""
"Empty Boat Sends Rescuers To Lake Monona","10/19/2016","Lake Rescue","Lake Monona, Madison, WI",""
"Engine 13 Responds To Residential Carbon Monoxide Leak","10/18/2016","Carbon Monoxide","100 Block Andrew Way, Madison, WI",""
"Paramedic Pushes Past Dog Bite To Revive Pulseless Patient","10/18/2016","Assist Citizen","West Side, Madison, WI 53706",""
"One Injured In Attempt To Avoid Collision Downtown","10/18/2016","Vehicle","N. Bassett Street / W. Dayton Street, Madison, WI",""
"Seven Taken To Hospital Following Crash On John Nolen Drive","10/16/2016","Vehicle","John Nolen Drive / North Shore Drive, Madison, WI",""
"Nobody Home As Carbon Monoxide Triggers Alarm In Downtown Apartment","10/16/2016","Carbon Monoxide","300 Block S. Hamilton Street, Madison, WI",""
"Firefighters Respond To Kitchen Fire On Near East Side","10/14/2016","Cooking","600 Block E. Johnson Street, Madison, WI",""
"One Injured In Early-Morning Crash","10/14/2016","Vehicle","Whitney Way / Mineral Point Road, Madison, WI",""
"Student Burns Bagels In Dorm Room; Intoxication A Factor","10/14/2016","Cooking","800 Block W. Johnson Street, Madison, WI",""
"One Rescued From East Towne Elevator","10/13/2016","Elevator","East Towne Mall, Madison, WI",""
"Lightning Strike The Suspected Cause Of Fire At Madison Sewerage Plant","10/12/2016","Structure","1600 Block Moorland Rd, Madison, WI",""
"Extensive Damage in High Rise Building Near Beltline","10/07/2016","Structure","2600 Block West Beltline Highway, Madison, WI",""
"Apartment Complex Evacuated After Carbon Monoixde Incident","10/06/2016","Carbon Monoxide","1400 Block Wayridge Drive, Madison, WI 53704",""
"Citizen Reports Smoking Washer in Laundry Mat","10/06/2016","Smoke Scare","900 Block Atlas Ave, Madison, WI 53714",""
"East Side Fire Results In $100,000 Loss; Family And Pets Okay","10/05/2016","Structure","5600 Block Rustic Woods Drive, Madison, WI",""
"Faulty Oven To Blame For Carbon Monoxide Leak On East Gorham","10/04/2016","Carbon Monoxide","1200 Block East Gorham St, Madison, WI 53703",""
"Five-Vehicle Crash On Seminole Highway","10/04/2016","Vehicle","Seminole Highway / Nakoma Road, Madison, WI 53703",""
"Nobody Injured After Crash Into North Side Credit Union","10/04/2016","Vehicle","1400 Block Northport Drive, Madison, WI 53703",""
"Apartment Suffers Smoke Damage Following Cooking Fire","10/02/2016","Cooking","200 Block Langdon Street, Madison, WI 53703",""
"One Pinned, Transported Following Early-Morning Crash","10/01/2016","Vehicle","N. Whitney Way / University Ave, Madison, WI",""
"North Side Dumpster Fire Under Investigation","09/30/2016","Trash/Rubbish","2800 Block Dryden Drive, Madison, WI",""
"Plugged Dryer Vent Kicks Up Smoke On Fourth Street","09/30/2016","Appliance","100 Block N. Fourth Street, Madison, WI 53703",""
"Oven Mitt Catches On Fire Inside Broiler","09/29/2016","Cooking","1000 Block Drake Street, Madison, WI",""
"Several Residents Affected By Power Outage After Apparent Hit-And-Run","09/27/2016","Electrical","5600 Block Old Middleton Road, Madison, WI",""
"Kitchen Fire Averted Thanks To Alert Neighbor","09/27/2016","Smoke Scare","1500 Block Trailsway, Madison, WI",""
"Tangled Cable Wires Temporarily Shut Down Stoughton Road Early Tuesday Morning","09/27/2016","Electrical","S. Stoughton Rd. / U.S. Highway 12, Madison, WI",""
"Engine 10 Responds To Gasoline Spill At North Side Parking Lot","09/26/2016","Vehicle","1800 Block Aberg Ave, Madison, WI",""
"Capitol Police Put A Stop To Vehicle Fire On the Square; Cause Unknown","09/26/2016","Vehicle","W. Main Street / S. Carroll Street, Madison, WI",""
"Ladder 2 Called To Possible Fire Off Beltline After Debris Catches Onto Passing Vehicle","09/26/2016","Vehicle","Mineral Point Rd. / Junction Rd, Madison, WI",""
"Three People Safe After Fire Consumes Vehicle On Northport Drive","09/25/2016","Vehicle","Northport Drive / Troy Drive, Madison, WI",""
"Firefighters Called For Waste Burning On Troy Drive","09/24/2016","Outdoor","1000 Block Troy Drive, Madison, WI",""
"Smoke Complaint Reveals Illegal Pig Roast On Pinckney","09/23/2016","Outdoor","300 Block N. Pinckney Street, Madison, WI",""
"Fog Machine Causes Smoke Scare On Jenifer Street","09/22/2016","Smoke Scare","1200 Block Jenifer Street, Madison, WI",""
"Passerby Catches Kitchen Fire Early On South Shore Drive","09/22/2016","Structure","500 Block South Shore Drive, Madison, WI",""
"Power Outage Disrupts Kitchen Operations At Segoe Gardens","09/22/2016","Smoke Scare","600 Block N. Segoe Road, Madison, WI",""
"Dancing In Dorm Elevator Leaves Two Students Stranded","09/21/2016","Elevator","10 Block N. Park Street, Madison, WI",""
"Carbon Monoxide From Running Car Affects Three Neighboring Condos","09/21/2016","Carbon Monoxide","3700 Block Design Pass, Madison, WI",""
"Lightning Strike Takes Out Electric Meter At Johnson Street Business","09/21/2016","Structure","1900 Block East Johnson Street, Madison, WI",""
"Fire Department, Other City Agencies Called For Flooded Basement at East Side YMCA","09/21/2016","Water Leak","700 Block Cottage Grover Road, Madison, WI",""
"Severed Power Line Causes Estimated $2000 In Damage On Maher Ave.","09/21/2016","Electrical","5100 Block Maher Ave, Madison, WI",""
"Smoldering Trash Bin Discovered Downtown","09/20/2016","Trash/Rubbish","500 Block East Johnson Street, Madison, WI",""
"Flooded Intersection Leaves Three Vehicles Stranded; One Passenger Rescued","09/19/2016","Vehicle","Rose Place / University Ave, Madison, WI",""
"Ladder 6 Called To Limousine Fire","09/17/2016","Vehicle","Baird Street / Bram Street, Madison, WI",""
"Fire Department Dispatched For Struggling Kayaker; Finds Frolicking Beaver","09/16/2016","Lake Rescue","Lake Monona, Madison, WI",""
"Gas Leak Prompts Downtown Building Evacuation","09/16/2016","Gas Leak","400 Block N. Pinckney Street, Madison, WI 53703",""
"Motorist Drives Off After Gasoline Ignites At Gas Station","09/15/2016","Outdoor","3000 Block East Washington Ave, Madison, WI",""
"Soldering Project Ignites Accidental Fire On Bassett Street","09/14/2016","Structure","10 Block N. Bassett Street, Madison, WI",""
"Four Displaced After Fire Spreads In Northside Kitchen","09/13/2016","Structure","400 Block Troy Drive, Madison, WI",""
"Firefighters Called For Malfunctioning Elevator At UW Dorm","09/13/2016","Elevator","800 Block W. Johnson Street, Madison, WI",""
"Melted Bottle Cap To Blame For Mysterious Odor In East Side Home","09/13/2016","Odor Investigation","6800 Block Fieldwood Road, Madison, WI",""
"Unattended Cooking Fire Displaces Family, Pets On Piccadilly Drive","09/13/2016","Cooking","5200 Block Piccadilly Drive, Madison, WI",""
"Smoke Under Mobile Home Traced To Burned Wires","09/11/2016","Electrical","400 Block Warbler Lane, Madison, WI",""
"Faulty Battery Likely Cause Of Fire Door Activation At Area Food Bank","09/09/2016","Electrical","2800 Block Dairy Drive, Madison, WI",""
"One Pinned, Transported Following Crash On Schroeder Road","09/07/2016","Vehicle","6700 Block Schroeder Road, Madison, WI","Updated: 09/07/2016"
"All OK After Apartment Building Is Evacuated For Suspected Gas Leak","09/07/2016","Gas Leak","2900 Block Curry Parkway, Madison, WI",""
"Automatic Sprinkler Quickly Catches Kitchen Fire at Downtown Restaurant","09/07/2016","Cooking","400 Block State Street, Madison, WI",""
"Dryer Fire Scare on Mifflin Street","09/06/2016","Structure","500 Block Mifflin Street, Madison, WI 53703",""
"Witnesses Report "Mini-Motorcycle" On Fire On East Side Bridge","09/06/2016","Vehicle","N. Marquette Street / Darbo Drive, Madison, WI",""
"Oven Catches Fire On Mayfair Ave.","09/05/2016","Structure","1000 Block Mayfair Ave, Madison, WI",""
"Firefighters Respond To Cooking Fire On Moorland Road","09/04/2016","Cooking","1100 Block Moorland Rd, Madison, WI",""
"Smoke Scare Uncovers Overloaded Power Strip In Downtown Condo","09/03/2016","Smoke Scare","300 Block S. Hamilton Street, Madison, WI",""
"Commercial Oven Fire","09/02/2016","Cooking","","Updated: 09/07/2016"
"Overloaded Dryer Catches Fire In University Ave. Laundry Room","09/01/2016","Appliance","6200 Block University Ave, Madison, WI",""
"Teen Injured Following Vehicle Rollover In School Parking Lot","09/01/2016","Vehicle","700 Block Pflaum Road, Madison, WI",""
"Vehicle Fire Extends To Neighboring Car On Calypso Road","09/01/2016","Vehicle","2400 Block Calypso Road, Madison, WI",""
"Semi Rollover Causes Traffic Backup on Stoughton Rd. at Highway 30","08/31/2016","Vehicle","N. Stoughton Road / Highway 30, Madison, WI","Updated: 09/01/2016"
"Toxic Chemical Combo Brings Firefighters and Paramedics To DOC","08/30/2016","Hazmat","3000 Block E. Washington Ave, Madison, WI",""
"Construction Site Temporarily Evacuated; Mysterious Gas Odor To Blame","08/30/2016","Gas Leak","10 Block W. Main Street, Madison, WI",""
"Firefighters Assist Man With Trailer Troubles On Midvale","08/29/2016","Assist Citizen","Madison, WI",""
"Broken Belt Creates Smoky Situation In Bridge Road Basement","08/29/2016","Excessive heat/scorch","6400 Block Bridge Rd, Madison, WI",""
"Nobody Injured Or Displaced By Small Fire On East Side","08/28/2016","Structure","Prairie Rose Road, Madison, WI",""
"Suspicious Fire Damages Southside Home, Displaces 4 Residents","08/27/2016","Structure","200 Block Koster Street, Madison, WI 53713","Updated: 09/22/2016"
"MFD Assists Sun Prairie Fire In Town Of Burke","08/26/2016","Structure","6000 Block Portage Road, Madison, WI",""
"1 Transported With Injuries Following House Fire On Fifth Street","08/26/2016","Structure","100 Block N. Fifth Street, Madison, WI",""
"Firefighters Help Woman Off the Floor, Walk Her To Dinner","08/24/2016","Assist Citizen","600 Block N. Segoe Road, Madison, WI",""
"Weather-Damaged Mustang Takes A Turn For the Worse","08/24/2016","Vehicle","1900 Block Freeport Road, Madison, WI",""
"No Damage Following Small Cooking Fire On Prairie Road","08/23/2016","Cooking","3300 Block Prairie Rd, Madison, WI",""
"Hand Freed From Home Garbage Disposal","08/22/2016","Assist Citizen","Madison, WI",""
"Basement Fire Displaces Family Of Six","08/22/2016","Structure","2400 Block Lafollette Ave, Madison, WI","Updated: 08/29/2016"
"Smoking Vehicle Summons Firefighters To Downtown Lot","08/22/2016","Vehicle","100 Block N. Blair Street, Madison, WI",""
"One Transported Following Rollover Crash On East Washington Ave.","08/21/2016","Vehicle","East Washington Avenue & Sparkle Court, Madison, WI",""
"Vehicle Crashes Into Building, Three People Injured","08/21/2016","Vehicle","1100 Block Williamson Street, Madison, WI",""
"Firefighters Rescue Dog Trapped Under Lakeshore Dock","08/20/2016","Special Rescue","Lakeshore Path, Madison, WI 53705",""
"Vehicle Totaled By Fire In Engine Compartment","08/20/2016","Vehicle","700 Block S. Gammon Road, Madison, WI",""
"Lightning Strikes Home On East Side","08/19/2016","Structure","3800 Block Sunbrook Rd, Madison, WI",""
"Two Displaced, One Injured by Early Morning Fire","08/19/2016","Structure","800 Block Sky Ridge Drive, Madison, WI",""
"Firefighters Rescue Man Trapped Inside Bobcat","08/18/2016","Vehicle","Buena Vista St, Madison, WI",""
"Smoke Odor Alarms Child Care Staff On Park Street","08/17/2016","Smoke Scare","2200 Block S. Park Street, Madison, WI",""
"Oil Cleanup Materials Smolder Outside West Side Restaurant","08/16/2016","Outdoor","700 Block S. Gammon Road, Madison, WI",""
"Tree Falls On Capitol Lawn, Injuring Two","08/16/2016","Assist Citizen","Carroll Street & W. Washington Avenue, Madison, WI",""
"Home Evacuated Following Small Gas Leak","08/16/2016","Gas Leak","Eliot Ln, Madison, WI",""
"Madison Fire Department Assists With Small Spill On UW Campus","08/16/2016","Hazmat","700 Block Highland Ave, Madison, WI",""
"Multiple Occupants Displaced By Fire At River's Edge Apartments","08/14/2016","Structure","1700 Block Fordem Ave, Madison, WI","Updated: 09/08/2016"
"Firefighters Cut Balcony Cookout Short","08/14/2016","Smoke Scare","1700 Block Fordem Ave, Madison, WI",""
"Lake Rescue Team, Engine 3 Aid Distressed Swimmer","08/13/2016","Lake Rescue","1000 Block Wisconsin Ave, Madison, WI",""
"Large Grease Spill On West Side Summons Fire Crews, HazMat Team","08/13/2016","Hazmat","700 Block S. Gammon Road, Madison, WI",""
"Gasoline Spill Discovered In North Side Parking Lot","08/13/2016","Gas Leak","500 Block East Bluff, Madison, WI",""
"Creative Mosquito Abatement Method Quickly Swatted Away","08/11/2016","Outdoor","500 Block Oak Street, Madison, WI",""
"Engine Co. 12 Helps Locked-In AAA Employee","08/11/2016","Assist Citizen","8400 Block Excelsior Drive, Madison, WI",""
"One Injured In Cooking Fire On North Side","08/11/2016","Cooking","Northridge Terrace, Madison, WI",""
"Emergency Crews Called Twice To Full Compass Systems","08/11/2016","Hazmat","9700 Block Silicon Prairie Parkway, Madison, WI",""
"Marsh Road Business Briefly Evacuated For Small Fire","08/11/2016","Structure","3700 Block Marsh Rd, Madison, WI",""
"Jet Ski Capsizes On Lake Mendota; No Injuries","08/10/2016","Lake Rescue","Lake Mendota, Madison, WI",""
"Small Fire Ignites Inside Broiler Used As Storage Space","08/09/2016","Cooking","W. Main Street, Madison, WI",""
"Smoke Scare Sends Firefighters To Downtown Restaurant","08/08/2016","Smoke Scare","100 Block East Main Street, Madison, WI",""
"Wedding Celebration Evacuated, 26 People Transported Due To Carbon Monoxide Incident","08/06/2016","Carbon Monoxide","5000 Block Blazing Star Drive, Madison, WI",""
"Traffic Crash At Northport and Troy, Two Injured","08/03/2016","Vehicle","Northport Drive / Troy Drive, Madison, WI",""
"Body Recovered From Lake Monona","08/02/2016","Lake Rescue","Lake Monona, Madison, WI",""
"Automatic Sprinkler Quickly Extinguishes Apartment Fire On Jenewein Road","07/31/2016","Candle","4700 Block Jenewein Rd, Madison, WI",""
"SUV Crashes Into Sommers Avenue Home, Nobody Injured","07/30/2016","Vehicle","2200 Block Sommers Ave, Madison, WI",""
"Firefighter respond to Hazardous Material Incident at Pellitteri Waste Systems","07/28/2016","Hazmat","4000 Block Kipp Street, Madison, WI",""
"Crews Extinguish Generator Fire","07/27/2016","Structure","100 Block W. Washington Ave, Madison, WI",""
"Metal Shavings Catch Fire at Alter Metal Recycling","07/24/2016","Outdoor","4400 Block Sycamore Ave, Madison, WI 53714",""
"Lighting Strikes Home on Tree Ridge Trail.","07/23/2016","Structure","5300 Block Tree Ridge Trail, Madison, WI 53718",""
"Lightning Strikes Condo, Causing Fire On Midvale Blvd.","07/21/2016","Structure","500 Block Midvale Blvd, Madison, WI",""
"Stay Off City Roads, Madison Fire Warns","07/21/2016","Outdoor","Madison, WI",""
"MFD Responds To Over 120 Storm-Related Calls, Issues Reminder About Confronting Floods","07/21/2016","Outdoor","Madison, WI",""
"Multiple Injuries Following Five-Car Crash On Highway 51","07/19/2016","Vehicle","U.S. Highway 51 / Terminal, Madison, WI",""
"Two Cars Damaged In Vehicle Fire On Aberg Avenue","07/19/2016","Vehicle","1800 Block Aberg Ave, Madison, WI",""
"Cause Of Outdoor Fire Unknown","07/19/2016","Outdoor","1000 Block Woodward Drive, Madison, WI",""
"Grill Fire Remains Isolated, Causes Minimal Damage","07/17/2016","Cooking","1600 Block Deerwood Drive, Madison, WI",""
"Kitchen Fire On Blue Heron Drive","07/17/2016","Cooking","9500 Block Blue Heron Drive, Madison, WI",""
"Driver Uninjured After Car Strikes Building At Ho Chunk Casino","07/17/2016","Vehicle","4000 Block Evan Acres Road, Madison, WI",""
"One Rescued From Downtown Elevator","07/16/2016","Elevator","10 Block W. Main Street, Madison, WI",""
"Small Fire Ignites Inside Greasy Stove","07/15/2016","Cooking","400 Block E. Village Green Ln, Madison, WI",""
"Family Finds Fire, Not Pokémon, At Demetral Field","07/14/2016","Outdoor","Demetral Field, Madison, WI",""
"No Injuries In Vehicle Fire On West Side; One Cited For Crossing Fire Hose","07/13/2016","Vehicle","S. Yellowstone Drive / Mineral Point Road, Madison, WI",""
"Three Displaced By Cooking Fire On Raymond Road","07/12/2016","Cooking","6500 Block Raymond Rd, Madison, WI",""
"East Side Fire Displaces Four People","07/11/2016","Structure","1800 Block Packers Avenue, Madison, WI",""
"Fire Results In $70,000 In Damage At Packers Ave. Home; Nobody Injured","07/11/2016","Structure","1800 Block Packers Ave, Madison, WI",""
"Small Fire Extinguished With Help Of City Streets Crew","07/11/2016","Outdoor","5800 Block Femrite Dr, Madison, WI",""
"Driver Injured After Car Crashes Into Park Street Walgreens","07/10/2016","Vehicle","2100 Block S. Park Street, Madison, WI",""
"Firefighters Help Stranded Kids Kayaking On Lake Wingra","07/08/2016","Lake Rescue","Lake Wingra, Madison, WI",""
"Cyclist Injured In North Side Crash","07/07/2016","Vehicle","Packers Ave. / Aberg Ave, Madison, WI",""
"Laptop Explodes, Causes Small Fire On West Side; Nobody Injured","07/06/2016","Structure","6400 Block Enterprise Ln, Madison, WI",""
"Storm-Related Emergencies Included Electrical Hazards, Home Health Scares","07/06/2016","Outdoor","City of Madison, Madison, WI",""
"Downed Power Lines Cause Fire On Tompkins","07/06/2016","Outdoor","1000 Block Tompkins Dr, Madison, WI",""
"East Side Man Told Not To Use Gasoline As Weed Killer","07/04/2016","Outdoor","N. Seventh Street, Madison, WI",""
"Fuel Overflow At Gas Station Places Pumps Out Of Service","07/04/2016","Outdoor","6200 Block Schroeder Rd, Madison, WI",""
"Outdoor Fire On Williamson Street Violated Several City Rules","07/02/2016","Unauthorized Burning","1400 Block Williamson St, Madison, WI",""
"Large Tree Limb Damages Two Vehicles; Nobody Injured","06/30/2016","Electrical","600 Block Sheldon Street, Madison, WI",""
"Back Yard Fire On Morrison Did Not Meet Safety Standards","06/29/2016","Unauthorized Burning","1300 Block Morrison Street, Madison, WI",""
"Mattress Goes Up In Flames Outside North Side Home","06/28/2016","Trash/Rubbish","Shelley Lane, Madison, WI",""
"Firefighters Called Twice To Catalpa Road For Similar Incidents","06/28/2016","Fireworks","Catalpa Road, Madison, WI",""
"Unattended Burner Leads To Stovetop Fire On Southwest Side","06/27/2016","Structure","6700 Block Pima Drive, Madison, WI",""
"Infant Unharmed Following Accidental Lock-In","06/26/2016","Vehicle","2100 Block Frisch Rd, Madison, WI",""
"Hotel Guests Relocated Due To Flooding Following Storms","06/26/2016","Water Leak","5200 Block East Terrace Blvd, Madison, WI",""
